subject,topic,year,exam,exercise,statement
quimica,Termoquímica,2016,Reserva 2,Ejercicio 4 Opción A,"a) La reacción CuO(s)+H,(g) >Cu(s)+H,0(), en condiciones estándar y a 25C, ¿es | exotérmica o endotérmica? Justifique la respuesta. | Datos: AHf [CuO(s)]=-161'1 kJ/mol ; AHf [H 20(1)] =-—285'8 kJ/mol | b) Dibuje el diagrama entálpico correspondiente. | €) Razone cuál será el signo de la AS* para dicha reacción. | QUIMICA. 2016. RESERVA 2. EJERCICIO 4. OPCIÓN A"
química,Termoquímica,2016,Reserva 2,Ejercicio 6 Opción B,"a) Determine el calor de formación del C ,H ,(g8) utilizando los datos de entalpías que se dan. | b) Para fundir una determinada cantidad de sodio se necesitan 1'98-10* kJ. ¿Cuántos kg de | gas butano serán necesarios quemar para conseguir fundir el sodio? | Datos: AH?[CO ,(g) |=-393'5 kJ /mol ; A? [ H ,00) |=-285'8 kJ /mol | AH nbastón | C 4E 0(8) |=-2878'6 kJ/mol ; Masas atómicas C=12;H =1 | QUÍMICA. 2016. RESERVA 2. EJERCICIO 6. OPCIÓN B"
química,Termoquímica,2016,Reserva 3,Ejercicio 5 Opción B,"Para la reacción 2 H ,S(g) +SO ,(g) >2H ,0(1) +3S(s), a 25*C: | a) Determine AH* y AS'. | b) Prediga si es espontánea o no, a esa temperatura. | Datos a 25*C: AH? (kJ -mol -') H ,S(g) =—20'6 ; SO ,(g) =-296'8 ; H ,O(1) =-285'8 | S""(J-mol ' .K -') H ,S(g) =205'8 ; SO ,(g) =248'2 ; H ,O(1) =69'9 ; S(s)=31'8 | QUÍMICA. 2016. RESERVA 3. EJERCICIO 5. OPCIÓN B"
química,Termoquímica,2016,Septiembre,Ejercicio 5 Opción A,"a) Calcule el calor de formación del metano a presión constante, en condiciones estándar y a | 25%C, a partir de los siguientes datos | C(s) + O ,(g) > CO ,(g)  AH""=-393'S kJ/mol | H,(g) + %Oz(g) > H,0a) AH'=-285'8kJ/mol | CH ,() + 20 ,(g) > CO ,(g) + 2H ,0(1)  AH”*=-890'4 kJ/mol | b) Calcule el calor producido cuando se queman 10 m* de metano medidos a 1 atm de presión y | a25C. | Datos: R =0'082 atm-L-mol '.K-'. | QUÍMICA. 2016. SEPTIEMBRE. EJERCICIO 5. OPCIÓN A"
química,Termoquímica,2024,Reserva 1,Ejercicio C2,"Para la siguiente reacción: 4NH ,(g) + 30,(g8) > 6H,0(1) + 2N ,(g) | Calcule: | a) La entalpía de reacción estándar. | b) La variación de energía interna (calor a volumen constante) a 25""C. | Datos: R =8'31 J-K-!-mol * | Enlace N-H N=N | Energía (k J -mol') 390 946 | QUÍMICA. 2024. RESERVA 1. EJERCICIO C2"
quiímica,Termoquímica,2024,Reserva 2,Ejercicio B1,"Dada la siguiente reacción: NaCl(s) —> Na*(ac) + Cl -(ac)  AH""=1'7 kJ.mol ""' | Indique, razonadamente, si las siguientes afirmaciones son verdaderas o falsas: | a) La reacción es exotérmica. | b) Se produce un aumento de la entropía. | €) La reacción es espontánea a cualquier temperatura. | QUIÍMICA. 2024. RESERVA 2. EJERCICIO B1"
química,Termoquímica,2024,Reserva 3,Ejercicio C4,"Una aplicación para el hidrógeno verde es, utilizando CO, atmosférico, su conversión a | CH;OH, ya que éste es fácil de transportar y puede ser utilizado como combustible. La reacción | es la siguiente: 2CO ,(g) + 4H,(g) > 2CH,OH(1) + O,(g) | a) Obtenga la variación de entalpía estándar de la reacción a partir de las entalpías estándar de | formación de los compuestos implicados. | b) Calcule la variación de entropía y determine la variación de energía libre de Gibbs a 500 K. | Datos CO ,(g) H,(g) | CH,OH(1) 0,(g) | AH? (kJ-mol "") | —393'5 0 —238'6 0 | S”(J-mol -!.K 1) | 213'8 130'7 127'2 205'2 | QUÍMICA. 2024. RESERVA 3. EJERCICIO C4"
quimica,Termoquímica,2024,Julio,Ejercicio B5,"Indique razonadamente si las siguientes afirmaciones son verdaderas o falsas: | a) Toda reacción exotérmica es espontánea. | b) En toda reacción química espontánea la variación de entropía es positiva. | c) En el cambio de estado H ,O(1) > H,O(g) se produce un aumento de entropía. | QUIMICA. 2024. JULIO. EJERCICIO B5"
química,Termoquímica,2025,Junio,Ejercicio 2A,"Justifique si son verdaderas o falsas las siguientes afirmaciones: | a) Un proceso exotérmico y espontáneo a cualquier temperatura tendrá AS > 0 | b) La sublimación del diyodo es un proceso que implica un aumento de entropía. | ) En todos los procesos espontáneos la entropía del sistema aumenta. | d) La reacción: PCI,(g) + Cl,(g) > PCI.(g) (AH * =-86 kJ -mol -') no es espontánea a | ninguna temperatura. | QUÍMICA. 2025. JUNIO. EJERCICIO 2A"
química,Termoquímica,2025,Reserva 1,Ejercicio 3A,"a) Calcule la variación de entropía que tiene lugar en la combustión del etanol: | CH CH ,OH(1) + 30 ,(g) > 2C0,(g8) +3H ,0(1) | b) Calcule a partir de qué temperatura será espontánea la reacción anterior. | Datos: | 0,() CO ,(g) H,00) | CH,CH,OH() | S*(J-mol -!.K-') 204,8 213,8 69,8 160,5 | AH (kJ -mol ) 0 —393,5 —285,8 —277,3 | QUÍMICA. 2025. RESERVA 1. EJERCICIO 3A"
química,Termoquímica,2025,Julio,Ejercicio 2A,"a) Estudie la espontaneidad del siguiente proceso: | H,(g) + %02(g) —> H,O(g) AH'=- 241,8 kJ-mol ' | b) Razone si la obtención de amoniaco a partir de sus elementos presenta un aumento o | disminución de entropía. | c) En qué caso coincide el valor del calor de reacción a presión constante y el valor del calor de | reacción a volumen constante. Justifique la respuesta utilizando la relación que existe entre | ambas. | d) Razone cómo varía la entropía en la fusión del hielo. | QUÍMICA. 2025. JULIO. EJERCICIO 2A"
