topic|year|exam|exercise|statement
enlace_quimico|2002|Reserva 4|Ejercicio 3 Opción B|"a) ¿Cuál es la geometría de la molécula BCI, ?
b) ¿Es una molécula polar?
) ¿Es soluble en agua?
Justifique las respuestas."
enlace_quimico|2002|Septiembre|Ejercicio 2 Opción A|"a) ¿Por qué el H, y el I, no son solubles en agua y el HI sí lo es?
b) ¿Por qué la molécula BF, es apolar, aunque sus enlaces estén polarizados?"
enlace_quimico|2002|Reserva 1|Ejercicio 5 Opción A|"a) Represente el ciclo de Born-Haber para el fluoruro de litio.
b) Calcule el valor de la energía reticular del fluoruro de litio sabiendo:
Entalpía de formación del [LiF(s)] = — 5941 kJ/mol
Energía de sublimación del litio = 1552 kJ/mol
Energía de disociación del F, = 150%6 kJ/mol
Energía de ionización del litio = 5200 kJ/mol
Afinidad electrónica del flúor = — 3330 kJ/mol."
enlace_quimico|2002|Reserva 1|Ejercicio 3 Opción B|"Dadas las sustancias PCI; y CH,:
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores según la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación que presenta el átomo central en cada caso."
enlace_quimico|2002|Reserva 2|Ejercicio 2 Opcion A|"Explique, en función del tipo de enlace que presentan, las siguientes afirmaciones:
a) El cloruro de sodio es soluble en agua.
b) El hierro es conductor de la electricidad.
€) El metano tiene bajo punto de fusión."
enlace_quimico|2002|Reserva 3|Ejercicio 2 Opción B|"Dadas las sustancias: NH, y H,O.
a) Represente sus estructuras de Lewis.
b) Prediga la geometría de las moléculas anteriores mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
c) Indique la hibridación del átomo central en cada caso."
enlace_quimico|2002|Reserva 4|Ejercicio 3 Opción B|"a) ¿Cuál es la geometría de la molécula BCI, ?
b) ¿Es una molécula polar?
) ¿Es soluble en agua?
Justifique las respuestas."
enlace_quimico|2002|Septiembre|Ejercicio 2 Opción A|"a) ¿Por qué el H, y el I, no son solubles en agua y el HI sí lo es?
b) ¿Por qué la molécula BF, es apolar, aunque sus enlaces estén polarizados?"
enlace_quimico|2003|Junio|Ejercicio 3 Opción B|"Justifique las siguientes afirmaciones:
a) A 25"" C y 1 atm, el agua es un líquido y el sulfuro de hidrógeno es un gas.
b) El etanol es soluble en agua y el etano no lo es.
c) En condiciones normales el flúor y el cloro son gases, el bromo es líquido y el yodo es sólido."
enlace_quimico|2003|Reserva 1|Ejercicio 3 Opción B|"a) Represente la estructura de Lewis de la molécula NF, .
b) Prediga la geometría de esta molécula según la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
c) Justifique si la molécula de NF, es polar o apolar."
enlace_quimico|2003|Reserva 2|Ejercicio 2 Opcion A|"Razone la veracidad o falsedad de las siguientes afirmaciones:
a) Los metales son buenos conductores de la electricidad.
b) Todos los compuestos de carbono presentan hibridación sp”.
€) Los compuestos iónicos conducen la corriente eléctriga en estado sólido."
enlace_quimico|2003|Reserva 3|Ejercicio 2 Opción B|"Para las moléculas BCl, y NH, , indique:
a) El número de pares de electrones sin compartir de cada átomo central.
b) La hibridación del átomo central.
c) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia."
enlace_quimico|2003|Reserva 4|Ejercicio 2 Opción A|"Dadas las especies químicas H,S, PH, y CCI, , indique:
a) La estructura de Lewis de cada molécula.
b) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación que presenta el átomo central de cada una de ellas."
enlace_quimico|2003|Junio|Ejercicio 3 Opción B|"Justifique las siguientes afirmaciones:
a) A 25"" C y 1 atm, el agua es un líquido y el sulfuro de hidrógeno es un gas.
b) El etanol es soluble en agua y el etano no lo es.
c) En condiciones normales el flúor y el cloro son gases, el bromo es líquido y el yodo es sólido."
enlace_quimico|2003|Reserva 1|Ejercicio 3 Opción B|"a) Represente la estructura de Lewis de la molécula NF, .
b) Prediga la geometría de esta molécula según la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
c) Justifique si la molécula de NF, es polar o apolar."
enlace_quimico|2003|Reserva 2|Ejercicio 2 Opcion A|"Razone la veracidad o falsedad de las siguientes afirmaciones:
a) Los metales son buenos conductores de la electricidad.
b) Todos los compuestos de carbono presentan hibridación sp”.
€) Los compuestos iónicos conducen la corriente eléctriga en estado sólido."
enlace_quimico|2003|Reserva 3|Ejercicio 2 Opción B|"Para las moléculas BCl, y NH, , indique:
a) El número de pares de electrones sin compartir de cada átomo central.
b) La hibridación del átomo central.
c) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia."
enlace_quimico|2003|Reserva 4|Ejercicio 2 Opción A|"Dadas las especies químicas H,S, PH, y CCI, , indique:
a) La estructura de Lewis de cada molécula.
b) La geometría de cada molécula según la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación que presenta el átomo central de cada una de ellas."
enlace_quimico|2004|Junio|Ejercicio 2 Opción B|"En los siguientes compuestos: BCl ,SiF, y BeCl, .
a) Justifique la geometría de estas moléculas mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
b) ¿Qué orbitales híbridos presenta el átomo central?."
enlace_quimico|2004|Reserva 1|Ejercicio 3 Opción B|"1s”2s”2p”? y 1s2s”2p 3s” 3pi
a) Explique la posible existencia de las moléculas: AB, B, y AB,.
b) Justifique la geometría de la molécula AB,.
c) Discuta la existencia o no de momento dipolar en AB,."
enlace_quimico|2004|Reserva 2|Ejercicio 2 Opción B|"Comente, razonadamente, la conductividad eléctrica de los siguientes sistemas:
a) Un hilo de cobre.
b) Un cristal de Cu(NO,), .
c) Una disolución de Cu(NO;), ."
enlace_quimico|2004|Reserva 3|Ejercicio 3 Opción B|"a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia."
enlace_quimico|2004|Reserva 4|Ejercicio 2 Opcion A|"a) Escriba el ciclo de Born-Haber para el KCI.
b) ¿póm0 explica el hecho de que los metales sean conductores de la electricidad?"
enlace_quimico|2004|Junio|Ejercicio 2 Opción B|"En los siguientes compuestos: BCl ,SiF, y BeCl, .
a) Justifique la geometría de estas moléculas mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
b) ¿Qué orbitales híbridos presenta el átomo central?."
enlace_quimico|2004|Reserva 1|Ejercicio 3 Opción B|"1s”2s”2p”? y 1s2s”2p 3s” 3pi
a) Explique la posible existencia de las moléculas: AB, B, y AB,.
b) Justifique la geometría de la molécula AB,.
c) Discuta la existencia o no de momento dipolar en AB,."
enlace_quimico|2004|Reserva 2|Ejercicio 2 Opción B|"Comente, razonadamente, la conductividad eléctrica de los siguientes sistemas:
a) Un hilo de cobre.
b) Un cristal de Cu(NO,), .
c) Una disolución de Cu(NO;), ."
enlace_quimico|2004|Reserva 3|Ejercicio 3 Opción B|"a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia."
enlace_quimico|2004|Reserva 4|Ejercicio 2 Opcion A|"a) Escriba el ciclo de Born-Haber para el KCI.
b) ¿póm0 explica el hecho de que los metales sean conductores de la electricidad?"
enlace_quimico|2005|Junio|Ejercicio 2 Opción B|"Dadas las especies químicas Cl, , HCI y CCI,:
a) Indique el tipo de enlace que existirá en cada una.
b) Justifique si los enlaces están polarizados.
c) Razone si dichas moléculas serán polares o apolares."
enlace_quimico|2005|Reserva 1|Ejercicio 2 Opción A|"Teniendo en cuenta la energía reticular de los compuestos iónicos, conteste razonadamente:
a) ¿Cuál de los siguientes compuestos tendrá mayor dureza: LiF o KBr?
b) ¿Cuál de los siguientes compuestos será más soluble en agua: MgO o CaS?"
enlace_quimico|2005|Reserva 3|Ejercicio 3 Opción B|"Dadas las moléculas CF, y NH;:
a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
c) Indique la hibridación del átomo central."
enlace_quimico|2005|Reserva 4|Ejercicio 2 Opción B|"Dadas las siguientes especies químicas: CH ,OH, CH ,y NH; a) Indique el tipo de enlace que
existe dentro de cada una. b) Ordénelas, justificando la respuesta, de menor a mayor punto de
fusión. c) Razone si serán solubles en agua. ."
enlace_quimico|2005|Junio|Ejercicio 2 Opción B|"Dadas las especies químicas Cl, , HCI y CCI,:
a) Indique el tipo de enlace que existirá en cada una.
b) Justifique si los enlaces están polarizados.
c) Razone si dichas moléculas serán polares o apolares."
enlace_quimico|2005|Reserva 1|Ejercicio 2 Opción A|"Teniendo en cuenta la energía reticular de los compuestos iónicos, conteste razonadamente:
a) ¿Cuál de los siguientes compuestos tendrá mayor dureza: LiF o KBr?
b) ¿Cuál de los siguientes compuestos será más soluble en agua: MgO o CaS?"
enlace_quimico|2005|Reserva 3|Ejercicio 3 Opción B|"Dadas las moléculas CF, y NH;:
a) Represéntelas mediante estructuras de Lewis.
b) Justifique su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
c) Indique la hibridación del átomo central."
enlace_quimico|2005|Reserva 4|Ejercicio 2 Opción B|"Dadas las siguientes especies químicas: CH ,OH, CH ,y NH; a) Indique el tipo de enlace que
existe dentro de cada una. b) Ordénelas, justificando la respuesta, de menor a mayor punto de
fusión. c) Razone si serán solubles en agua. ."
enlace_quimico|2006|Junio|Ejercicio 2 Opción A|"Dadas las moléculas de BCI, y H,O
a) Deduzca la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
b) Justifique la polaridad de las mismas. ."
enlace_quimico|2006|Reserva 1|Ejercicio 3 Opción B|"a) ¿Qué se entiende por energía reticular?
b) Represente el ciclo de Born-Haber para el bromuro de sodio.
C) Exprese la entalpía de formación (AHf) del bromuro de sodio en función de las siguientes
variables: la energía de ionización (I) y el calor de sublimación (S) del sodio, la energía de
disociación (D) y la afinidad electrónica (AE) del bromo y la energía reticular (U) del bromuro
de sodio."
enlace_quimico|2006|Reserva 2|Ejercicio 2 Opción A|"Para las moléculas BCl , , NH; y BeH, , indique:
a) El número de pares de electrones sin compartir de cada átomo.
b) La geometría de cada molécula utilizando la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación del átomo central."
enlace_quimico|2006|Reserva 3|Ejercicio 3 Opción B|"Supongamos que los sólidos cristalinos CsBr, NaBr y KBr cristalizan con el mismo tipo de red.
a) Ordénelos de mayor a menor según su energía reticular. Razone la respuesta.
b) Justifique cuál de ellos será menos soluble. ."
enlace_quimico|2006|Septiembre|Ejercicio 2 Opción B|"Dadas las moléculas BF, y PF,:
a) ¿Son polares los enlaces boro-flúor y fósforo-flúor?. Razone la respuesta.
b) Prediga su geometría a partir de la teoría de Repulsión de Pares de Electrones de la Capa de
Valencia.
c) ¿Son polares esas moléculas?. Justifique su respuesta."
enlace_quimico|2006|Junio|Ejercicio 2 Opción A|"Dadas las moléculas de BCI, y H,O
a) Deduzca la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones de
la Capa de Valencia.
b) Justifique la polaridad de las mismas. ."
enlace_quimico|2006|Reserva 1|Ejercicio 3 Opción B|"a) ¿Qué se entiende por energía reticular?
b) Represente el ciclo de Born-Haber para el bromuro de sodio.
C) Exprese la entalpía de formación (AHf) del bromuro de sodio en función de las siguientes
variables: la energía de ionización (I) y el calor de sublimación (S) del sodio, la energía de
disociación (D) y la afinidad electrónica (AE) del bromo y la energía reticular (U) del bromuro
de sodio."
enlace_quimico|2006|Reserva 2|Ejercicio 2 Opción A|"Para las moléculas BCl , , NH; y BeH, , indique:
a) El número de pares de electrones sin compartir de cada átomo.
b) La geometría de cada molécula utilizando la teoría de Repulsión de Pares de Electrones de la
Capa de Valencia.
e) La hibridación del átomo central."
enlace_quimico|2006|Reserva 3|Ejercicio 3 Opción B|"Supongamos que los sólidos cristalinos CsBr, NaBr y KBr cristalizan con el mismo tipo de red.
a) Ordénelos de mayor a menor según su energía reticular. Razone la respuesta.
b) Justifique cuál de ellos será menos soluble. ."
enlace_quimico|2006|Septiembre|Ejercicio 2 Opción B|"Dadas las moléculas BF, y PF,:
a) ¿Son polares los enlaces boro-flúor y fósforo-flúor?. Razone la respuesta.
b) Prediga su geometría a partir de la teoría de Repulsión de Pares de Electrones de la Capa de
Valencia.
c) ¿Son polares esas moléculas?. Justifique su respuesta."
enlace_quimico|2007|Junio|Ejercicio 2 Opción B|"Para las moléculas CCl ,, NH , y BeCl,
a) Determine su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
b) ¿Qué tipo de hibridación presenta el átomo central?
€) Razone si estas moléculas son polares."
enlace_quimico|2007|Reserva 1|Ejercicio 3 Opción B|"Dadas las moléculas de BF, y H,0:
a) Determine la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones
de la Capa de Valencia.
b) Razone si los enlaces son polares.
e) Justifique si las moléculas son polares."
enlace_quimico|2007|Reserva 2|Ejercicio 2 Opcion A|"Explique:
a) Por qué el cloruro de hidrógeno disuelto en agua conduce la corriente eléctrica.
b) La poca reactividad de los gases nobles.
€) La geometría molecular del tricloruro de boro."
enlace_quimico|2007|Reserva 3|Ejercicio 3 Opción B|"Dadas las siguientes moléculas: F, , CS, , C,H, , C,H, , H,O y NH, . Indique en cuál o
cuáles:
a) Todos los enlaces son simples.
b) Existe algún doble enlace.
C) Existe algún triple enlace."
enlace_quimico|2007|Septiembre|Ejercicio 2 Opcion A|"a) Represente la estructura de la molécula de agua mediante el diagrama de Lewis.
b) Deduzca la geometría de la molécula de agua mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
) ¿Por qué a temperatura ambiente el agua es líquida mientras que el sulfuro de hidrógeno, de
mayor masa molecular, es gaseoso?. ."
enlace_quimico|2007|Junio|Ejercicio 2 Opción B|"Para las moléculas CCl ,, NH , y BeCl,
a) Determine su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
b) ¿Qué tipo de hibridación presenta el átomo central?
€) Razone si estas moléculas son polares."
enlace_quimico|2007|Reserva 1|Ejercicio 3 Opción B|"Dadas las moléculas de BF, y H,0:
a) Determine la geometría de cada una mediante la teoría de Repulsión de Pares de Electrones
de la Capa de Valencia.
b) Razone si los enlaces son polares.
e) Justifique si las moléculas son polares."
enlace_quimico|2007|Reserva 2|Ejercicio 2 Opcion A|"Explique:
a) Por qué el cloruro de hidrógeno disuelto en agua conduce la corriente eléctrica.
b) La poca reactividad de los gases nobles.
€) La geometría molecular del tricloruro de boro."
enlace_quimico|2007|Reserva 3|Ejercicio 3 Opción B|"Dadas las siguientes moléculas: F, , CS, , C,H, , C,H, , H,O y NH, . Indique en cuál o
cuáles:
a) Todos los enlaces son simples.
b) Existe algún doble enlace.
C) Existe algún triple enlace."
enlace_quimico|2007|Septiembre|Ejercicio 2 Opcion A|"a) Represente la estructura de la molécula de agua mediante el diagrama de Lewis.
b) Deduzca la geometría de la molécula de agua mediante la teoría de Repulsión de Pares de
Electrones de la Capa de Valencia.
) ¿Por qué a temperatura ambiente el agua es líquida mientras que el sulfuro de hidrógeno, de
mayor masa molecular, es gaseoso?. ."
enlace_quimico|2008|Junio|Ejercicio 3 Opción B|"Indique, razonadamente, cuántos enlaces 7 y cuántos o tienen las siguientes moléculas
a) Hidrógeno.
b) Nitrógeno.
c) Oxígeno. ."
enlace_quimico|2008|Reserva 1|Ejercicio 2 Opcion A|"Deduzca, según la teoría de Repulsión de Pares de Electrones de la Capa de Valencia, la
geometría de las siguientes moléculas e indique la polaridad de las mismas:
a) Amoniaco.
b) Tricloruro de boro.
c) Metan0. ."
enlace_quimico|2008|Reserva 3|Ejercicio 2 Opción A|"Indique qué tipo de enlace hay que romper para:
a) Fundir cloruro de sodio.
b) Vaporizar agua.
c) Vaporizar n-hexano."
enlace_quimico|2008|Reserva 4|Ejercicio 3 Opción B|"Para las moléculas de tetracloruro de carbono y agua:
a) Prediga su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa de
Valencia.
b) Indique la hibridación del átomo central.
e) Justifique si esas moléculas son polares o apolares. ."
enlace_quimico|2008|Septiembre|Ejercicio 2 Opción B|"Razone si son verdaderas o falsas las siguientes afirmaciones:
a) Algunas moléculas covalentes son polares.
b) Los compuestos iónicos, cuando están fundidos o en disolución, son buenos conductores de la
electricidad.
c) El agua tiene el punto de ebullición más elevado que el resto de los hidruros de los elementos
del grupo 16."
enlace_quimico|2008|Junio|Ejercicio 3 Opción B|"Indique, razonadamente, cuántos enlaces 7 y cuántos o tienen las siguientes moléculas
a) Hidrógeno.
b) Nitrógeno.
c) Oxígeno. ."
enlace_quimico|2008|Reserva 1|Ejercicio 2 Opcion A|"Deduzca, según la teoría de Repulsión de Pares de Electrones de la Capa de Valencia, la
geometría de las siguientes moléculas e indique la polaridad de las mismas:
a) Amoniaco.
b) Tricloruro de boro.
c) Metan0. ."
enlace_quimico|2008|Reserva 3|Ejercicio 2 Opción A|"Indique qué tipo de enlace hay que romper para:
a) Fundir cloruro de sodio.
b) Vaporizar agua.
c) Vaporizar n-hexano."
enlace_quimico|2008|Reserva 4|Ejercicio 3 Opción B|"Para las moléculas de tetracloruro de carbono y agua:
a) Prediga su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa de
Valencia.
b) Indique la hibridación del átomo central.
e) Justifique si esas moléculas son polares o apolares. ."
enlace_quimico|2008|Septiembre|Ejercicio 2 Opción B|"Razone si son verdaderas o falsas las siguientes afirmaciones:
a) Algunas moléculas covalentes son polares.
b) Los compuestos iónicos, cuando están fundidos o en disolución, son buenos conductores de la
electricidad.
c) El agua tiene el punto de ebullición más elevado que el resto de los hidruros de los elementos
del grupo 16."
enlace_quimico|2009|Junio|Ejercicio 2 Opción B|"Dada la molécula CCI ,
a) Represéntela mediante estructura de Lewis.
b) ¿Por qué la molécula es apolar si los enlaces están polarizados?.
ce) ¿Por qué a temperatura ambiente el CCI , es líquido y el CI, es sólido?."
enlace_quimico|2009|Reserva 2|Ejercicio 2 Opción A|"Dadas las moléculas CF, y NH,
a) Represente sus correspondientes estructuras de Lewis.
b) Establezca su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
ce) Indique la hibridación del átomo central."
enlace_quimico|2009|Reserva 3|Ejercicio 2 Opcion A|"a) Justifique la naturaleza del enlace que se formará cuando el oxígeno se combine con calcio.
b) Justifique la naturaleza del enlace que se formará cuando el oxígeno se combine con
hidrógeno.
c) ¿Cuál de los dos compuestos formados tendrá mayor punto de fusión? Razone la respuesta."
enlace_quimico|2009|Reserva 4|Ejercicio 3 Opción B|"Para la molécula GeH,:
a) Establezca su geometría mediante la teoría de Repulsión de Pares de Electrones de la Capa
de Valencia.
b) Indique la hibridación del átomo central.
c) Ordene, de forma razonada, de menor a mayor punto de fusión los compuestos CH, y
GeH,."
enlace_quimico|2009|Septiembre|Ejercicio 3 Opción B|"Razone sobre la veracidad o falsedad de las siguientes afirmaciones:
a) La molécula de BF; es apolar aunque sus enlaces están polarizados.
b) El cloruro de sodio tiene menor punto de fusión que el cloruro de cesio.
€) El cloruro de sodio sólido no conduce la corriente eléctrica y el cobre sí."
